WAVELENGTH FLUX ERROR DQ
1606.8911396948965 -3.085205051503448e-12 4.978040115538596e-12 2628
1606.9176275153284 8.167864821995163e-12 6.356871192630953e-12 2628
1606.9441151654564 1.0567486989632169e-11 4.505104189006515e-12 2628
1606.9706026452839 -6.985912282680973e-12 3.400609871820337e-12 2628
1606.9970899548136 -2.3701741524301267e-12 7.0882414521245e-12 576
1607.0235770940492 7.692517955092126e-13 7.390241196780778e-12 576
1607.050064062994 -8.478151991217486e-14 6.76032840818408e-12 576
1607.076550861651 6.490773088278778e-13 6.313337439639577e-12 576
1607.1030374900236 5.8970614849607195e-12 5.926986332283057e-12 576
1607.1295239481153 5.438301718674321e-12 6.515357697800539e-12 576
1607.1560102359292 -2.6735438949515578e-12 6.413257078174972e-12 512
1607.1824963534687 -1.2889594773468627e-11 6.065386474324308e-12 512
1607.208982300737 -1.0683606777028842e-12 5.914394408251811e-12 512
1607.235468077737 8.473568201272652e-12 7.2407600748558565e-12 512
1607.2619536844727 7.303160680371956e-12 6.499548729083093e-12 1536
1607.288439120947 1.3250908183215504e-11 6.207446449219001e-12 512
1607.3149243871633 -6.565621310516967e-12 4.658720891698165e-12 512
1607.3414094831246 -7.605048535364034e-12 4.9434974343232074e-12 0
1607.3678944088347 8.485059985359478e-13 4.7600985653151184e-12 0
1607.3943791642964 5.65309908259759e-12 5.332693488180329e-12 0
1607.420863749513 -3.806581352211458e-12 5.502646081845253e-12 0
1607.4473481644884 -2.6262960989981154e-12 5.6717794523486464e-12 0
1607.473832409225 -1.9702058994680582e-12 5.052805396310589e-12 0
1607.5003164837265 -5.979002449391091e-12 4.735614678175182e-12 0
1607.5268003879964 7.172088010293232e-12 4.622721910124694e-12 0
1607.5532841220377 7.389784964506596e-12 5.195148131131866e-12 0
1607.579767685854 6.020504407511229e-12 4.948093150491939e-12 0
1607.6062510794477 -2.1692259533773184e-12 4.949514322699633e-12 0
1607.6327343028233 9.636820855196682e-12 4.945854056165322e-12 0
1607.6592173559832 -2.188652471063479e-12 4.896208005006342e-12 0
1607.6857002389313 5.6090279990095304e-12 5.8545763723105715e-12 0
1607.7121829516705 5.577207966289688e-12 4.381597949049132e-12 0
1607.738665494204 5.396026941245635e-12 5.396641467037e-12 0
1607.7651478665352 2.14095928485758e-12 4.610493844342534e-12 0
1607.7916300686675 5.78829605774045e-12 5.15617626720144e-12 0
1607.8181121006041 1.5228423990570894e-12 5.1177590811024576e-12 0
1607.8445939623484 2.0613838327271372e-12 4.289656737460623e-12 0
1607.8710756539035 2.042159166380439e-14 4.34888063061134e-12 0
1607.8975571752726 1.3723805945831113e-11 4.932522272571571e-12 0
1607.924038526459 2.0335794680137464e-12 3.812633802419141e-12 0
1607.9505197074664 -1.552619252782883e-12 4.18218194450648e-12 0
